video	activities	category
MAIN PAGE	23289	undefined
borchardt2	911	0
lennartz	291	7
userguide	244	6
seidel1	208	5
mund	170	9
krebs	162	8
huppert1	160	1
bernhofer	157	7
liehr	114	9
magiera	109	5
borchardt1	107	5
balke1	103	7
moss	90	1
niemann	78	1
ostrowski	77	8
saliha2	76	9
bogardi	75	9
cullmann	72	7
schanze	64	9
lehmann	62	3
balke2	58	7
mueller	49	8
petersen2	47	8
ayenew1	46	7
petersen1	45	7
scheumann	44	5
ayenew2	43	9
graefe	42	1
demydenko	41	5
albrecht	41	1
huppert4	40	1
newig	39	1
huppert2	39	1
berendonk	37	7
jabir	34	7
tsegai	33	3
huppert3	29	1
seidel2	29	5
dombrowsky	28	3
abebe	28	9
bhaduri	27	5
awulachew	25	7
saliha1	22	7
?	1	undefined
