activities	amount
2	571
3	156
4	762
5	250
6	180
7	126
8	164
9	93
10	86
11	70
12	70
13	58
14	57
15	33
16	44
17	43
18	32
19	29
20	34
21	23
22	38
23	21
24	30
25	22
26	13
27	15
28	18
29	17
30	17
31	9
32	10
33	7
34	12
35	10
36	11
37	4
38	12
39	9
40	10
41	12
42	6
43	5
44	10
45	5
46	6
47	2
48	4
49	2
50	6
51	3
52	6
53	2
54	9
55	4
56	4
57	3
58	5
59	6
60	3
61	6
62	6
63	4
65	4
66	5
67	3
68	3
69	4
70	5
71	2
72	5
73	2
74	2
75	4
76	1
77	1
78	2
79	4
80	7
81	3
82	3
83	3
84	2
85	1
86	2
87	2
88	3
89	1
90	1
91	3
92	2
93	2
94	3
95	4
96	2
97	2
98	2
99	1
100	3
102	1
103	2
104	1
105	3
106	4
107	3
108	1
110	2
113	1
115	1
116	1
118	1
119	2
120	4
121	1
123	2
124	2
125	2
126	5
127	1
128	2
129	2
130	2
131	1
132	1
134	1
135	4
136	2
139	2
140	1
141	1
142	2
144	1
145	1
146	1
149	1
150	2
152	1
153	1
154	2
155	1
156	2
157	1
158	1
160	1
161	1
163	2
165	1
168	1
169	1
171	1
172	1
174	1
178	2
184	1
187	1
190	1
191	2
194	1
196	1
198	1
200	3
202	1
203	2
210	1
212	2
216	1
220	1
229	1
233	1
235	1
239	1
240	1
248	1
249	1
252	1
263	1
274	1
276	1
284	1
285	1
291	1
296	1
300	1
305	1
308	1
312	1
313	1
324	1
325	1
326	1
335	1
340	1
342	2
343	1
349	1
361	1
408	1
414	1
429	1
458	1
477	1
546	1
872	1
